name	scaff	start	end
LOC112074908	chr019944174.1	9001	10001
NW_019946655.1_41001	chr019946655.1	41001	42001
NW_019947337.1_9001	chr019947337.1	9001	10001
LOC112080902	chr019957652.1	17001	18001
LOC111971885	chr036853.1	50966001	50967001
LOC112072150	chr019943205.1	1001	2001
abra	chr036851.1	2219001	2220001
LOC111957164	chr036871.1	29506001	29507001
col25a1	chr036876.1	19536001	19537001
LOC111977992	chr036858.1	64900001	64901001
NW_019947652.1_31001	chr019947652.1	31001	32001
LOC112080371	chr019957525.1	242001	243001
LOC111971648	chr036853.1	50965001	50966001
LOC111949462	chr036862.1	6846001	6847001
NW_019957585.1_40001	chr019957585.1	40001	41001
LOC112080902	chr019957652.1	18001	19001
atp5mpl	chr036868.1	18078001	18079001
NW_019942730.1_1001	chr019942730.1	1001	2001
LOC111963811	chr036844.1	3454001	3455001
LOC111972899	chr036839.1	22036001	22037001
LOC111977116	chr036857.1	39239001	39240001
baiap3	chr036860.1	74186001	74187001
NW_019944916.1_36001	chr019944916.1	36001	37001
NW_019945573.1_6001	chr019945573.1	6001	7001
pcdh9	chr019948669.1	10001	11001
lmtk2	chr036841.1	7669001	7670001
nfya	chr036851.1	26497001	26498001
LOC111970311	chr036851.1	36277001	36278001
LOC111963747	chr019942914.1	238001	239001
LOC112076082	chr019944835.1	68001	69001
LOC111950847	chr036863.1	23356001	23357001
LOC111967420	chr036838.1	39341001	39342001
tRNA_serine_(anticodonAGA)	chr036841.1	12406001	12407001
LOC112068820	chr019942604.1	181001	182001
LOC112080902	chr019957652.1	19001	20001
LOC111963368	chr036838.1	27806001	27807001
LOC111961115	chr036842.1	29405001	29406001
LOC111964765	chr036845.1	23352001	23353001
LOC112069314	chr019942669.1	9001	10001
nfix	chr019942922.1	163001	164001
LOC112073781	chr019943690.1	15001	16001
LOC112078566	chr019947147.1	1	1001
NW_019947337.1_10001	chr019947337.1	10001	11001
LOC112073110	chr019943482.1	42001	43001
LOC112067810	chr019944324.1	50001	51001
tRNA_valine_(anticodonAAC)	chr019944976.1	58001	59001
NW_019945308.1_27001	chr019945308.1	27001	28001
LOC112077686	chr019946095.1	29001	30001
LOC112078129	chr019946553.1	5001	6001
LOC112078473	chr019946988.1	43001	44001
LOC112070605	chr019942868.1	417001	418001
LOC111969237	chr036850.1	7487001	7488001
LOC111971647	chr036853.1	50964001	50965001
LOC111973420	chr036854.1	19415001	19416001
chat	chr036858.1	61878001	61879001
LOC111954466	chr036868.1	16684001	16685001
LOC111960022	chr036876.1	1195001	1196001
NW_019947409.1_15001	chr019947409.1	15001	16001
NW_019949599.1_8001	chr019949599.1	8001	9001
LOC111957030	chr036838.1	1547001	1548001
LOC111969579	chr036838.1	51819001	51820001
LOC111968754	chr036849.1	18769001	18770001
LOC111968064	chr036848.1	48028001	48029001
LOC112079955	chr019951751.1	1	1001
LOC111976420	chr036857.1	25327001	25328001
LOC111967556	chr036848.1	17280001	17281001
LOC112067850	chr036864.1	10204001	10205001
LOC112076326	chr019944970.1	137001	138001
LOC112079300	chr019948814.1	4001	5001
LOC112079299	chr019948814.1	5001	6001
LOC111956268	chr036840.1	18559001	18560001
LOC111968562	chr036849.1	10933001	10934001
LOC111971649	chr036853.1	50967001	50968001
ntng1	chr036854.1	36694001	36695001
LOC111952570	chr036866.1	35656001	35657001
LOC111958248	chr036872.1	5801001	5802001
NW_019942523.1_11001	chr019942523.1	11001	12001
LOC112073781	chr019943690.1	14001	15001
vil1	chr036875.1	8928001	8929001
LOC111962607	chr036842.1	80971001	80972001
NW_019952633.1_1	chr019952633.1	1	1001
LOC112080706	chr019957589.1	239001	240001
fam221a	chr036870.1	25106001	25107001
LOC111963050	chr036843.1	19525001	19526001
LOC111967149	chr036848.1	11148001	11149001
LOC111977991	chr036858.1	64857001	64858001
LOC112069229	chr019942657.1	4001	5001
LOC111972008	chr036853.1	20050001	20051001
LOC111978430	chr036858.1	39718001	39719001
LOC111977406	chr036858.1	56253001	56254001
LOC112075618	chr019944574.1	19001	20001
LOC112075762	chr019944660.1	74001	75001
NW_019946489.1_9001	chr019946489.1	9001	10001
LOC111965446	chr036846.1	27001	28001
LOC111968468	chr036849.1	4749001	4750001
LOC112069694	chr019942721.1	303001	304001
LOC111953658	chr036867.1	2054001	2055001
LOC111953658	chr036867.1	2055001	2056001
LOC111951843	chr036865.1	21254001	21255001
LOC111954566	chr036868.1	25024001	25025001
LOC112079456	chr019949317.1	10001	11001
LOC111970282	chr036838.1	54895001	54896001
LOC111962341	chr036842.1	62921001	62922001
abra	chr036851.1	2218001	2219001
LOC111978815	chr036858.1	15871001	15872001
LOC112077362	chr019945755.1	44001	45001
LOC111963050	chr036843.1	19530001	19531001
LOC111980011	chr036860.1	54990001	54991001
LOC112078124	chr019946545.1	58001	59001
LOC111962838	chr036842.1	12829001	12830001
LOC111968064	chr036848.1	48029001	48030001
LOC112071877	chr019943136.1	50001	51001
NW_019945121.1_34001	chr019945121.1	34001	35001
LOC111967636	chr036848.1	26151001	26152001
LOC111953159	chr036867.1	28906001	28907001
LOC111961781	chr036838.1	16868001	16869001
LOC111971760	chr036839.1	38434001	38435001
LOC111960960	chr036842.1	56551001	56552001
NW_019942727.1_115001	chr019942727.1	115001	116001
LOC111967644	chr036848.1	26850001	26851001
LOC111974783	chr036855.1	64253001	64254001
LOC111975624	chr036856.1	8286001	8287001
LOC111979049	chr036859.1	25682001	25683001
jam3	chr036863.1	15314001	15315001
LOC111951796	chr036865.1	6146001	6147001
LOC111971960	chr019943232.1	205001	206001
LOC111954519	chr036868.1	11550001	11551001
LOC111956211	chr036870.1	1028001	1029001
LOC111959710	chr036875.1	6613001	6614001
LOC112073553	chr019943617.1	82001	83001
LOC112077610	chr019946019.1	43001	44001
NW_019947408.1_1	chr019947408.1	1	1001
LOC112069314	chr019942669.1	7001	8001
LOC112081114	chr036846.1	10531001	10532001
LOC111954794	chr036869.1	6124001	6125001
LOC112075116	chr019944284.1	49001	50001
NW_019947187.1_13001	chr019947187.1	13001	14001
NW_019950957.1_2001	chr019950957.1	2001	3001
fbh1	chr036840.1	6590001	6591001
itga3	chr036858.1	11864001	11865001
